"ID","admin","age","sex","zone","gang","family","other","risk"
"Newton 2-23-257-1",2,15,2,13,NA,4.037101724,-3.207985547,-2.77676709
"Newton 2-23-258-1",2,19,2,13,NA,-2.575140689,NA,5.327889463
"Newton 2-23-263-1",2,19,1,13,NA,-0.224555817,NA,0.305132517
"Newton 2-23-266-1",2,15,2,13,NA,2.06949162,-1.70102304,-4.112032952
"Newton 2-23-272-1",2,16,1,13,-6.285877175,1.453484442,-0.776815725,-5.485774559
"Newton 2-23-274-1",2,17,1,13,NA,3.526376804,-0.971796788,-1.62077402
"Newton 2-23-276-1",2,17,2,13,NA,1.36783402,0.774168876,-2.667041615
"Newton 2-23-278-1",2,18,1,13,NA,1.18470287,NA,-0.867678965
"Newton 2-23-279-1",2,19,1,13,NA,4.000329508,NA,-3.299475284
"Newton 2-23-286-1",2,24,2,13,NA,-3.289973952,NA,-2.956039882
"Newton 2-23-287-1",2,17,1,13,NA,1.758784263,NA,-2.667041615
"Newton 2-23-290-1",2,20,1,13,NA,1.652324329,-0.19308914,-2.956039882
"Newton 2-23-291-1",2,20,2,13,NA,0.101680875,NA,-3.299475284
"Newton 2-23-310-1",2,18,2,13,NA,4.119909622,NA,-1.511048545
"Newton 2-23-56-1",2,20,1,13,NA,1.927628071,-3.358672114,1.080769105
"Newton 2-23-69-2",2,20,1,13,-2.410832956,-1.429258695,NA,2.411372478
"Newton 2-23-75-1",2,18,1,13,NA,-5.048009478,-0.097070869,0.382292679
"Newton 2-23-84-1",2,15,1,13,NA,-1.118050015,-2.101079024,-2.670331687
"Newton 2-23-86-2",2,18,2,13,NA,1.099015137,-1.079002915,-4.329781489
"Newton 2-23-92-2",2,15,1,13,NA,2.233740286,0.951746257,-5.485774559
"NHSEA-0-117-4",2,22,2,8,NA,-4.637839501,NA,-2.667041615
"NHSEA-0-217-2",2,17,1,8,NA,0.643297244,-1.901855263,-0.785674819
"NHSEA-0-222-3",2,20,1,8,NA,-5.235939427,1.440725557,-3.173788419
"NHSEA-0-299-4",2,20,1,8,NA,-2.447351959,NA,-1.800046812
"NHSEA-0-301-4",2,25,1,8,4.762864689,4.049015806,4.10853355,2.400100755
"Northeast-20-1-2",2,17,1,14,NA,3.090427794,-0.185237661,-1.119756152
"Northeast-20-10-3",2,24,2,14,-5.852981064,-1.461836947,NA,-0.773030679
"Northeast-20-100-2",2,18,1,14,2.477728709,4.653859702,2.745220188,8.397847634
"Northeast-20-119-2",2,17,2,14,-4.676133848,-2.10749843,1.13120135,2.825540302
"Northeast-20-123-2",2,22,2,14,-3.548317981,-2.716906154,NA,0.784124999
"Northeast-20-130-3",2,19,2,14,-6.516448561,-1.176408722,NA,-2.956039882
"Northeast-20-144-2",2,18,1,14,-0.004020239,0.928040667,NA,0.167652719
"Northeast-20-156-2",2,15,1,14,-0.247651723,0.545525832,3.847154681,4.07115618
"Northeast-20-162-3",2,16,1,14,1.841259301,-1.220271614,NA,4.844359719
"Northeast-20-18-3",2,22,1,14,1.232504936,-0.187985426,NA,1.846353983
"Northeast-20-196-2",2,16,1,14,5.371711724,-3.654521974,1.425172396,6.350395511
"Northeast-20-211-2",2,21,1,14,2.893042285,0.352888801,NA,4.41130151
"Northeast-20-218-2",2,20,2,14,NA,4.124659796,2.799066888,-2.143482214
"Northeast-20-222-2",2,19,1,14,NA,NA,NA,6.760912187
"Northeast-20-226-2",2,20,1,14,-1.317764173,-1.294372257,NA,-3.119351285
"Northeast-20-228-2",2,21,1,14,-5.387754803,-0.213292776,4.538060202,-2.956039882
"Northeast-20-231-2",2,17,2,14,NA,-2.870306725,2.675578268,-1.800046812
"Northeast-20-243-2",2,21,1,14,3.43122192,-0.771480735,NA,5.832900107
"Northeast-20-25-2",2,16,2,14,-2.262761457,-0.734797579,3.579410189,2.822223053
"Northeast-20-268-2",2,19,2,14,1.148317533,-5.360170343,NA,9.591646737
"Northeast-20-269-2",2,17,1,14,NA,-5.717040762,-1.192397678,8.615596171
"Northeast-20-270-2",2,20,1,14,-6.33179904,-0.870038401,NA,-3.931908953
"Northeast-20-279-2",2,20,1,14,2.033565147,5.361498954,NA,6.574208045
"Northeast-20-284-2",2,18,2,14,NA,1.979545397,1.682093698,-5.196776292
"Northeast-20-292-1",2,22,1,14,5.503520969,6.544748311,NA,-1.568775751
"Northeast-20-294-2",2,20,2,14,NA,6.638142279,4.642022216,-2.557804356
"Northeast-20-296-2",2,19,1,14,-0.566249413,0.904401003,NA,-2.015356484
"Northeast-20-297-2",2,16,1,14,0.620966404,0.603000385,NA,2.549186175
"Northeast-20-298-2",2,19,2,14,-2.731159898,1.662634386,NA,-2.830353017
