,ID,admin,age,sex,zone,gang,family,other,risk
1623,Southeast 2-20-176-2,1,14.0,1,20.0,,1.832374666,-0.8627401379999999,1.775955459
1624,77th 1-16-92-1,2,17.0,2,1.0,,-0.42742600700000005,-1.447710518,-1.7263582169999998
1625,Newton 1-17-275-1,1,15.0,1,12.0,,1.418244076,0.997768669,-1.042777485
1626,Southeast 2-20-174-2,1,16.0,1,20.0,,1.230230196,1.274700699,-0.175782683
1627,CPHBRE-0-109-1,2,19.0,1,999.0,0.609534572,-10.58901745,1.4852349219999998,2.549186175
1628,Newton 1-17-271-1,1,22.0,1,12.0,,-0.6925545190000001,0.666598082,-2.4407960319999997
1629,Newton 1-17-233-1,2,15.0,2,12.0,,3.494875874,,-2.956039882
1630,Southwest 1-15-364-2,1,17.0,1,22.0,3.92059039,-1.240560426,,10.86327571
1631,Southwest 2-23-77-2,2,13.0,2,23.0,,2.66639511,,-3.248328222
1632,Foothill-14-430-1,1,18.0,1,5.0,-4.69932301,2.006469144,3.658239647,1.1721273190000001
1633,Foothill-14-431-1,1,18.0,1,5.0,,-1.95667836,2.11274154,-0.680090623
1634,Southwest 1-15-366-2,1,16.0,2,22.0,,0.884536027,,7.84254695
1635,Southwest 2-23-122-1,2,18.0,1,23.0,2.253932313,0.24277911300000002,,-0.66415641
1636,Southwest 1-15-348-3,1,21.0,2,22.0,,0.41284654,,2.189789384
1637,Southwest 1-15-358-2,1,17.0,2,22.0,,1.597493131,,5.36791912
1638,Southeast 3-10-138-2,1,23.0,2,21.0,,-3.9514401880000003,3.763959919,-0.824177741
1639,Southeast 2-20-246-1,1,25.0,1,20.0,2.3112860090000003,2.167770975,,1.9552282509999999
1640,Newton 2-23-216-1,2,18.0,1,13.0,,0.799848718,0.8012745590000001,-2.3780433469999998
1641,Newton 2-23-278-1,1,17.0,1,13.0,,-4.477618659,,-1.707106756
1642,Pacific-18-245-1,2,15.0,1,16.0,-3.3852627760000003,5.292889155,-1.129605501,-3.0104770160000003
1643,Olympic-12-165-1,1,16.0,1,15.0,,-3.366682892,,-0.308933891
1644,Newton 2-23-215-1,2,16.0,1,13.0,,2.3686957630000003,2.4226304119999997,-3.0104770160000003
1645,Newton 1-17-117-2,1,18.0,2,12.0,0.9435758740000001,-5.182839635,,0.530339582
1646,Northeast-20-270-2,2,20.0,1,14.0,-6.33179904,-0.870038401,,-3.931908953
1647,Foothill-14-434-1,1,17.0,1,5.0,,2.722355745,,-3.4627866860000003
1648,77th 2-13-1448-1,1,19.0,2,2.0,5.876996172,-0.722411219,2.0341541419999998,0.43081938200000003
1649,77th 2-13-1447-1,1,18.0,2,2.0,6.486467492,-1.254604938,-0.23908436100000002,-1.91306236
1650,Southwest 2-23-172-1,1,16.0,1,23.0,,,,
1651,Harbor-21-211-1,1,21.0,1,6.0,2.675273948,1.288338241,0.386057272,-1.010881884
1652,Southwest 2-23-174-1,1,17.0,1,23.0,,,,5.4383176429999995
