ID,admin,age,sex,zone,gang,family,other,risk
BVCB-0-129-2,1,24,1,22,-0.433271805,-0.72820841,NA,-2.416519092
Southwest 2-23-62-1,1,23,2,23,-1.122327883,-1.968950252,-0.084247359,0.250695383
Southwest 1-15-280-1,1,35,1,22,-3.7816226,1.609836746,NA,1.159664674
Northeast-20-136-2,1,24,2,14,-5.091671055,-1.976560856,3.958940982,-1.925552182
Hollenbeck 2-20-31-2,1,16,1,8,NA,-1.658560353,2.561549587,-0.535179474
Newton 1-17-127-1,1,16,2,12,NA,6.453809081,-1.090555438,-2.667041615
Foothill-14-276-1,1,13,1,5,NA,NA,NA,4.681048316
Southeast 2-20-85-1,1,20,1,20,1.315312808,0.748388576,-0.06150698,-0.747171897
Hollenbeck 1-20-69-2,1,17,2,7,2.511944177,-3.242607806,-2.208649818,-1.800046812
Olympic-12-27-1,1,16,2,15,2.372938511,6.935121755,3.841303521,2.760354568
Southwest 1-15-238-1,1,22,1,22,NA,4.516792682,3.148247884,-2.272459151
Hollenbeck 2-20-50-2,1,16,1,8,NA,0.880827722,NA,4.221280118
Hollenbeck 2-20-73-2,1,20,1,8,NA,3.902328465,NA,-2.667041615
